fold,draw,kind,subtype,test_n,ibs_pooled,ibs_independent,pooled_minus_independent
3,7,flipped,del1p,77,0.15444820362840198,0.1705626876475874,-0.016114484019185416
3,7,flipped,del13q,98,0.13606082735855138,0.14860714309197579,-0.012546315733424407
3,7,flipped,del17p,48,0.10893521683432553,0.13678478857866236,-0.027849571744336832
3,7,flipped,hyperdiploid,107,0.12835170283824865,0.13087791562418943,-0.0025262127859407846
3,8,flipped,amp1q,89,0.09799225887771316,0.0991471005475096,-0.0011548416697964303
3,8,flipped,del1p,70,0.14390395420816182,0.1596793734333809,-0.01577541922521908
3,8,flipped,del13q,105,0.1282291570535492,0.1339176523047155,-0.005688495251166298
3,8,flipped,del17p,47,0.15958542491748673,0.19227080526107435,-0.03268538034358762
3,8,flipped,hyperdiploid,103,0.12500610245036295,0.12460213404449265,0.00040396840587030025
3,9,flipped,amp1q,89,0.11349285331714845,0.11465702060242311,-0.0011641672852746587
3,9,flipped,del1p,70,0.13951625958755906,0.15744033048038655,-0.017924070892827493
3,9,flipped,del13q,89,0.14204455777645272,0.1420499799576961,-5.422181243386337e-06
3,9,flipped,del17p,43,0.12076820696886888,0.10055720344264081,0.020211003526228066
3,9,flipped,hyperdiploid,106,0.14261509728847865,0.14050545128865538,0.002109645999823273
3,10,flipped,amp1q,86,0.12081458827579973,0.1357611001195592,-0.01494651184375946
3,10,flipped,del1p,65,0.13585265779858616,0.16288112346160444,-0.02702846566301828
3,10,flipped,del13q,91,0.1318233062443542,0.1520359032207625,-0.020212596976408287
3,10,flipped,del17p,52,0.1350572466898354,0.14735340724191254,-0.012296160552077134
3,10,flipped,hyperdiploid,103,0.13733990879852778,0.142229545707133,-0.004889636908605222
3,11,flipped,amp1q,79,0.10174961454151367,0.09742054740442335,0.004329067137090317
3,11,flipped,del1p,75,0.1907538738088107,0.17736833162789362,0.013385542180917087
3,11,flipped,del13q,90,0.12303114019355531,0.1281274065513229,-0.005096266357767595
3,11,flipped,del17p,36,0.12189335295361835,0.10288550028247141,0.019007852671146935
3,11,flipped,hyperdiploid,103,0.17009198087866986,0.17624378409564972,-0.006151803216979862
3,12,flipped,amp1q,87,0.18217133909474398,0.17689086307316934,0.005280476021574637
3,12,flipped,del1p,72,0.12713583323413097,0.15135311338409527,-0.0242172801499643
