patient_id	file_id	file_name	sample_id
MMRF_1286	ebf83d32-35e2-4339-999a-38c898022ffe	2ae1e819-b409-4028-83df-7cf645654552.rna_seq.augmented_star_gene_counts.tsv	MMRF_1286_1_BM_CD138pos
MMRF_1289	30304c45-4faf-436c-8850-4833b096c36c	d187ef90-ec97-41fd-b387-49c46b7ef7f9.rna_seq.augmented_star_gene_counts.tsv	MMRF_1289_1_BM_CD138pos
MMRF_1290	d38ab09e-f19a-4c90-a76e-1c5e3e5350f4	00809c1b-3729-4aa9-8d9b-fb459020651d.rna_seq.augmented_star_gene_counts.tsv	MMRF_1290_1_BM_CD138pos
MMRF_1293	39e8166e-e412-4752-96ac-faf44560dc48	9bc2dc66-0213-4d8d-8fea-7081733ac892.rna_seq.augmented_star_gene_counts.tsv	MMRF_1293_1_BM_CD138pos
MMRF_1295	bdd7ef1b-b527-438a-bfa5-a14ec1ba6336	99acece0-be88-4a4b-97c0-7bf7f5e02363.rna_seq.augmented_star_gene_counts.tsv	MMRF_1295_1_BM_CD138pos
MMRF_1296	8e86657f-82a4-4278-acb1-39eab6332dd4	7a67a839-d0cb-4760-b990-b3df8498a600.rna_seq.augmented_star_gene_counts.tsv	MMRF_1296_1_BM_CD138pos
MMRF_1300	393d116e-ca61-445b-b95d-eb431e5020fb	e8af28ce-d3d8-4ae3-892a-a038d77bb130.rna_seq.augmented_star_gene_counts.tsv	MMRF_1300_1_BM_CD138pos
MMRF_1304	9708b468-b0a2-4126-8e28-eea6a04f039b	9041bf48-9015-451a-94f9-351c5b1c4003.rna_seq.augmented_star_gene_counts.tsv	MMRF_1304_1_BM_CD138pos
MMRF_1307	8628a4c2-54f2-4093-8ea8-533e597cbd95	6bb770d8-3a29-4163-8026-5301048461a5.rna_seq.augmented_star_gene_counts.tsv	MMRF_1307_1_BM_CD138pos
MMRF_1308	0c0e85f2-eebf-4e68-8710-33b1d2303c44	6d1ba2d4-883d-4354-b3e1-ac141ed02b77.rna_seq.augmented_star_gene_counts.tsv	MMRF_1308_1_BM_CD138pos
MMRF_1309	7428bf04-e388-4029-85a4-2f8ebb575613	17a9bed6-7ca7-4761-a6ff-27d2b48bd49e.rna_seq.augmented_star_gene_counts.tsv	MMRF_1309_1_BM_CD138pos
MMRF_1310	7c909be0-01a0-4b1a-b16b-c5f999f0be4e	581c8f16-edf6-4866-8fad-39b6b5e79ca7.rna_seq.augmented_star_gene_counts.tsv	MMRF_1310_1_BM_CD138pos
MMRF_1311	00b1de33-ff26-445b-b57c-69e7a0ecb7c6	701405d4-c4f1-4889-9b2d-1301e6d2db9b.rna_seq.augmented_star_gene_counts.tsv	MMRF_1311_1_BM_CD138pos
MMRF_1312	5b3a1ac9-18c0-443b-bc68-5d73bd8da20c	2f96f7a4-d0b3-46ff-aa9e-3ca967851215.rna_seq.augmented_star_gene_counts.tsv	MMRF_1312_1_BM_CD138pos
MMRF_1314	70355a64-1e7a-4238-999e-16ba719c6e60	5c5f8461-6366-4696-bd3c-37b6f9b3203b.rna_seq.augmented_star_gene_counts.tsv	MMRF_1314_1_BM_CD138pos
MMRF_1318	590aa530-2e04-4464-a7fe-aa0dc5728747	1fc695b9-c0dc-4b21-8ca2-3338f2e252a6.rna_seq.augmented_star_gene_counts.tsv	MMRF_1318_1_BM_CD138pos
MMRF_1320	49135932-abe7-4aab-ad57-41d9a72984b8	3e5ba603-36cc-4cdd-b701-684d5fb00c03.rna_seq.augmented_star_gene_counts.tsv	MMRF_1320_1_BM_CD138pos
MMRF_1323	36247376-33dd-4b52-83f0-d733cd7424f1	fcdc21a8-5363-4e7a-8ffd-26dec4d15337.rna_seq.augmented_star_gene_counts.tsv	MMRF_1323_1_BM_CD138pos
MMRF_1324	3365e994-85fd-4a83-9d02-58e7a45e7b6f	361adaae-9f13-4821-a4e4-346b5848a885.rna_seq.augmented_star_gene_counts.tsv	MMRF_1324_1_BM_CD138pos
MMRF_1325	06c98043-90ed-40b6-9412-1c464b3c7a2c	c918e320-c87d-46f0-9a78-7e2fba96ad3a.rna_seq.augmented_star_gene_counts.tsv	MMRF_1325_1_BM_CD138pos
MMRF_1327	d33cbe85-4584-4175-bd35-a41315e3d156	a6efe88d-2af2-44d6-9094-f02759416795.rna_seq.augmented_star_gene_counts.tsv	MMRF_1327_1_BM_CD138pos
MMRF_1328	f2be1200-860a-485d-82da-7ab7ae4f6d96	ed1fa8a2-c9e1-4984-8557-0204fa78a67e.rna_seq.augmented_star_gene_counts.tsv	MMRF_1328_1_BM_CD138pos
MMRF_1331	9ad9ff2c-7785-4c0e-8217-eac1d2804f24	a2732ca5-f252-4a27-a1ae-ceea6b98f86c.rna_seq.augmented_star_gene_counts.tsv	MMRF_1331_1_BM_CD138pos
MMRF_1335	1520d205-4417-4242-9cbe-79cbcf8ece22	1255c83b-30e7-4ff2-bbaa-59512a5338d6.rna_seq.augmented_star_gene_counts.tsv	MMRF_1335_1_BM_CD138pos
MMRF_1338	9d9e1b74-1163-4d5c-941f-96728638c378	e5f37c8c-6c9e-42e2-ba48-f44502a83bc4.rna_seq.augmented_star_gene_counts.tsv	MMRF_1338_1_BM_CD138pos
MMRF_1342	0889fc64-6e8f-4280-8c8f-bcc81de88ba9	e449ee89-61fe-4e00-962c-eb8f17e694f2.rna_seq.augmented_star_gene_counts.tsv	MMRF_1342_1_BM_CD138pos
MMRF_1344	d7017169-b248-4fa5-a3e3-c11c12de2331	1dc1ccee-6157-43b8-9a58-db4d916bf3bd.rna_seq.augmented_star_gene_counts.tsv	MMRF_1344_1_BM_CD138pos
